customer_id,name,city,age,purchase_amount
10000,Amit Patel,Surat,48,3551
10001,Sneha Verma,Mumbai,44,10908
10002,Raj Mehta,Jaipur,20,40206
10003,Sneha Patel,Bangalore,32,36865
10004,Sneha Shah,Pune,26,36677
10005,Neha Joshi,Jaipur,36,9985
10006,Neha Mehta,Kochi,44,44677
10007,Vikram Joshi,Mumbai,24,5904
10008,Kavita Rao,Jaipur,29,26691
10009,Sneha Kumar,Bangalore,36,33439
10010,Priya Rao,Jaipur,25,2660
10011,Vikram Desai,Bangalore,34,44247
10012,Anjali Patel,Kochi,38,48681
10013,Kavita Patel,Mumbai,27,49496
10014,Raj Kumar,Ahmedabad,35,4832
10015,Priya Kumar,Delhi,27,36560
10016,Sneha Shah,Bangalore,32,8849
10017,Neha Kumar,Surat,49,27612
10018,Vikram Patel,Jaipur,23,26126
10019,Kavita Nair,Delhi,23,45603
10020,Raj Verma,Pune,47,49573
10021,Priya Verma,Surat,48,2825
10022,Amit Verma,Surat,48,10165
10023,Arjun Singh,Kochi,34,19326
10024,Arjun Singh,Pune,37,12389
10025,Priya Joshi,Ahmedabad,32,4682
10026,Priya Patel,Kochi,50,15846
10027,Kavita Desai,Jaipur,28,48086
10028,Vikram Rao,Ahmedabad,38,3049
10029,Amit Verma,Ahmedabad,43,37227
10030,Kavita Singh,Surat,31,2198
10031,Anjali Joshi,Mumbai,27,37141
10032,Anjali Shah,Bangalore,29,13498
10033,Arjun Verma,Bangalore,50,24360
10034,Sneha Mehta,Mumbai,34,40123
10035,Rahul Rao,Pune,35,2194
10036,Raj Patel,Bangalore,32,12646
10037,Anjali Rao,Surat,21,8726
10038,Neha Verma,Bangalore,46,22600
10039,Vikram Joshi,Kochi,30,15499
10040,Arjun Shah,Bangalore,39,38278
10041,Raj Desai,Bangalore,27,21854
10042,Rahul Nair,Jaipur,38,6903
10043,Raj Singh,Bangalore,31,38700
10044,Kavita Kumar,Jaipur,46,22060
10045,Kavita Desai,Pune,35,35439
10046,Neha Singh,Bangalore,35,3073
10047,Raj Kumar,Jaipur,37,29897
10048,Arjun Kumar,Kochi,39,9997
10049,Kavita Shah,Kochi,26,3009
10050,Rahul Joshi,Mumbai,44,35460
10051,Neha Desai,Surat,44,17571
10052,Raj Mehta,Delhi,33,22881
10053,Neha Nair,Delhi,36,28425
10054,Rahul Shah,Surat,42,1763
10055,Anjali Mehta,Ahmedabad,37,35671
10056,Rahul Verma,Jaipur,26,13591
10057,Arjun Singh,Delhi,40,23460
10058,Rahul Patel,Kochi,22,7555
10059,Sneha Shah,Mumbai,34,27108
10060,Neha Desai,Surat,34,22462
10061,Raj Singh,Mumbai,38,25889
10062,Anjali Desai,Ahmedabad,28,30870
10063,Anjali Joshi,Kochi,27,42883
10064,Kavita Desai,Surat,49,35129
10065,Sneha Desai,Jaipur,47,33663
10066,Amit Joshi,Delhi,30,29964
10067,Arjun Singh,Mumbai,50,3463
10068,Raj Patel,Surat,27,30540
10069,Sneha Mehta,Jaipur,41,15017
10070,Raj Joshi,Ahmedabad,49,47355
10071,Priya Desai,Pune,45,2273
10072,Rahul Singh,Mumbai,37,7863
10073,Raj Verma,Delhi,33,13831
10074,Anjali Nair,Surat,36,39234
10075,Rahul Kumar,Jaipur,39,3052
10076,Arjun Nair,Bangalore,36,8266
10077,Kavita Joshi,Surat,44,37728
10078,Anjali Singh,Ahmedabad,34,23277
10079,Amit Singh,Kochi,26,6177
10080,Anjali Patel,Bangalore,21,45199
10081,Amit Verma,Ahmedabad,20,21070
10082,Neha Nair,Bangalore,37,27635
10083,Priya Nair,Ahmedabad,45,33574
10084,Raj Mehta,Surat,29,47733
10085,Sneha Singh,Mumbai,21,25009
10086,Rahul Joshi,Kochi,26,14037
10087,Kavita Joshi,Kochi,41,33309
10088,Arjun Joshi,Ahmedabad,30,27137
10089,Neha Singh,Bangalore,31,3980
10090,Amit Rao,Ahmedabad,27,35587
10091,Rahul Joshi,Delhi,46,21550
10092,Amit Verma,Surat,20,38126
10093,Priya Shah,Surat,50,8207
10094,Arjun Rao,Ahmedabad,35,29457
10095,Anjali Kumar,Kochi,23,49913
10096,Kavita Singh,Bangalore,41,30876
10097,Neha Verma,Ahmedabad,44,44248
10098,Amit Desai,Delhi,37,35692
10099,Priya Kumar,Delhi,37,26146
10100,Rahul Nair,Surat,23,25323
10101,Vikram Patel,Delhi,43,28393
10102,Arjun Shah,Pune,31,13247
10103,Rahul Kumar,Mumbai,20,4898
10104,Raj Joshi,Bangalore,20,15485
10105,Sneha Joshi,Surat,31,28605
10106,Neha Shah,Jaipur,36,10023
10107,Anjali Mehta,Bangalore,45,11469
10108,Priya Shah,Mumbai,36,37407
10109,Vikram Nair,Bangalore,38,18961
10110,Amit Patel,Kochi,38,16275
10111,Anjali Verma,Jaipur,29,19146
10112,Neha Mehta,Delhi,24,20065
10113,Vikram Nair,Jaipur,37,13942
10114,Amit Nair,Ahmedabad,26,1725
10115,Vikram Verma,Mumbai,30,2799
10116,Raj Rao,Surat,21,16835
10117,Amit Singh,Kochi,48,2878
10118,Raj Singh,Jaipur,50,30697
10119,Vikram Singh,Bangalore,41,5920
10120,Kavita Shah,Delhi,46,12154
10121,Arjun Rao,Bangalore,29,44213
10122,Rahul Kumar,Jaipur,43,8278
10123,Raj Kumar,Jaipur,33,17930
10124,Vikram Verma,Delhi,33,22410
10125,Anjali Singh,Bangalore,42,36666
10126,Anjali Verma,Pune,20,48186
10127,Arjun Singh,Pune,22,40415
10128,Anjali Kumar,Delhi,28,16733
10129,Rahul Nair,Mumbai,34,48493
10130,Vikram Patel,Mumbai,22,9781
10131,Neha Patel,Bangalore,26,22652
10132,Raj Singh,Jaipur,21,13106
10133,Priya Verma,Kochi,20,43486
10134,Amit Joshi,Ahmedabad,49,46786
10135,Kavita Verma,Bangalore,32,18547
10136,Vikram Verma,Pune,23,4643
10137,Kavita Desai,Jaipur,24,17033
10138,Kavita Desai,Ahmedabad,31,22317
10139,Raj Rao,Delhi,41,37078
10140,Vikram Desai,Surat,34,35175
10141,Kavita Verma,Pune,36,23174
10142,Arjun Patel,Mumbai,38,43617
10143,Priya Desai,Mumbai,48,46101
10144,Rahul Patel,Jaipur,38,41708
10145,Anjali Rao,Pune,24,6044
10146,Sneha Verma,Ahmedabad,24,45395
10147,Amit Joshi,Mumbai,27,34625
10148,Arjun Shah,Pune,42,37165
10149,Arjun Mehta,Delhi,44,17639
10150,Arjun Nair,Jaipur,21,10424
10151,Kavita Shah,Mumbai,21,19976
10152,Neha Singh,Mumbai,22,29065
10153,Raj Mehta,Ahmedabad,43,2534
10154,Sneha Rao,Mumbai,33,48797
10155,Kavita Joshi,Bangalore,21,11968
10156,Raj Verma,Delhi,40,20913
10157,Rahul Mehta,Kochi,26,15478
10158,Sneha Desai,Pune,29,30212
10159,Vikram Patel,Delhi,43,10286
10160,Raj Verma,Ahmedabad,35,31786
10161,Neha Shah,Pune,24,48854
10162,Sneha Joshi,Pune,28,45232
10163,Vikram Nair,Bangalore,40,23718
10164,Arjun Patel,Kochi,24,13813
10165,Amit Verma,Pune,32,9456
10166,Anjali Patel,Delhi,32,9452
10167,Arjun Kumar,Kochi,24,41635
10168,Neha Kumar,Ahmedabad,33,38558
10169,Arjun Mehta,Surat,41,41161
10170,Rahul Joshi,Surat,44,26781
10171,Anjali Shah,Jaipur,47,5681
10172,Rahul Nair,Kochi,45,27197
10173,Vikram Patel,Kochi,43,16335
10174,Rahul Nair,Delhi,28,6102
10175,Sneha Kumar,Kochi,30,46377
10176,Rahul Patel,Bangalore,41,30322
10177,Kavita Joshi,Mumbai,37,25459
10178,Sneha Mehta,Jaipur,25,3741
10179,Vikram Patel,Surat,44,6653
10180,Kavita Joshi,Delhi,43,27742
10181,Kavita Joshi,Delhi,43,6785
10182,Sneha Desai,Jaipur,37,26218
10183,Anjali Singh,Bangalore,47,23296
10184,Kavita Verma,Pune,37,14629
10185,Kavita Kumar,Ahmedabad,48,30900
10186,Kavita Shah,Kochi,33,41820
10187,Priya Joshi,Bangalore,33,788
10188,Amit Verma,Pune,39,35692
10189,Rahul Patel,Pune,24,33636
10190,Arjun Shah,Surat,21,30867
10191,Kavita Kumar,Pune,30,15488
10192,Amit Verma,Bangalore,34,34387
10193,Raj Desai,Mumbai,24,5373
10194,Vikram Rao,Kochi,34,9284
10195,Neha Shah,Pune,50,21896
10196,Priya Shah,Surat,24,22599
10197,Anjali Mehta,Pune,46,48987
10198,Neha Kumar,Pune,29,43830
10199,Kavita Joshi,Pune,35,41770
10200,Anjali Rao,Delhi,33,26361
10201,Priya Nair,Surat,44,18827
10202,Anjali Mehta,Bangalore,32,5316
10203,Arjun Rao,Kochi,37,49954
10204,Sneha Singh,Bangalore,35,14316
10205,Vikram Desai,Delhi,29,34860
10206,Kavita Kumar,Ahmedabad,20,10051
10207,Neha Kumar,Jaipur,22,24016
10208,Sneha Nair,Jaipur,29,14478
10209,Vikram Shah,Jaipur,49,45358
10210,Anjali Patel,Bangalore,30,46743
10211,Rahul Joshi,Surat,35,23427
10212,Vikram Kumar,Surat,21,15773
10213,Neha Kumar,Delhi,24,27510
10214,Vikram Mehta,Ahmedabad,23,16704
10215,Sneha Joshi,Mumbai,48,20148
10216,Sneha Kumar,Surat,50,27769
10217,Priya Kumar,Pune,48,38391
10218,Sneha Mehta,Bangalore,39,5970
10219,Vikram Shah,Ahmedabad,49,24854
10220,Priya Rao,Bangalore,44,31107
10221,Kavita Mehta,Pune,35,21253
10222,Vikram Mehta,Pune,34,25415
10223,Raj Nair,Surat,39,29066
10224,Anjali Mehta,Jaipur,35,38173
10225,Raj Verma,Surat,50,28815
10226,Sneha Joshi,Bangalore,38,11664
10227,Priya Rao,Ahmedabad,20,44992
10228,Rahul Joshi,Bangalore,33,43244
10229,Priya Desai,Ahmedabad,23,15206
10230,Sneha Rao,Surat,40,7893
10231,Priya Singh,Jaipur,35,47294
10232,Priya Shah,Ahmedabad,39,29715
10233,Amit Singh,Ahmedabad,21,43367
10234,Amit Singh,Delhi,29,20703
10235,Raj Patel,Kochi,46,47245
10236,Anjali Rao,Delhi,34,7021
10237,Arjun Verma,Surat,37,1926
10238,Anjali Shah,Ahmedabad,43,15705
10239,Arjun Patel,Surat,37,29127
10240,Arjun Singh,Jaipur,50,9244
10241,Amit Verma,Kochi,43,7859
10242,Vikram Joshi,Delhi,41,2732
10243,Arjun Shah,Bangalore,46,40303
10244,Raj Mehta,Pune,27,17532
10245,Kavita Patel,Jaipur,33,24288
10246,Amit Mehta,Jaipur,26,25235
10247,Arjun Singh,Mumbai,30,24172
10248,Rahul Kumar,Bangalore,30,8472
10249,Kavita Kumar,Pune,35,9431
10250,Neha Desai,Surat,22,48027
10251,Priya Patel,Jaipur,42,47587
10252,Vikram Singh,Pune,42,43650
10253,Raj Patel,Mumbai,30,5225
10254,Priya Joshi,Delhi,42,30850
10255,Amit Kumar,Pune,34,21646
10256,Priya Shah,Kochi,22,5186
10257,Vikram Verma,Surat,31,38526
10258,Priya Kumar,Bangalore,27,23550
10259,Amit Kumar,Jaipur,50,5485
10260,Rahul Joshi,Kochi,24,43458
10261,Priya Mehta,Jaipur,23,33618
10262,Raj Patel,Mumbai,20,39515
10263,Neha Singh,Delhi,20,31201
10264,Vikram Desai,Jaipur,44,10478
10265,Anjali Verma,Kochi,46,15724
10266,Anjali Mehta,Delhi,28,43060
10267,Priya Rao,Kochi,44,5449
10268,Kavita Desai,Delhi,44,35278
10269,Priya Patel,Mumbai,50,25134
10270,Anjali Shah,Mumbai,23,47126
10271,Sneha Nair,Surat,44,26797
10272,Neha Shah,Bangalore,44,5273
10273,Vikram Nair,Pune,21,33459
10274,Anjali Shah,Mumbai,25,29510
10275,Vikram Mehta,Mumbai,32,29501
10276,Amit Kumar,Pune,38,855
10277,Arjun Kumar,Ahmedabad,28,28411
10278,Rahul Joshi,Ahmedabad,20,29001
10279,Anjali Patel,Jaipur,34,45899
10280,Arjun Verma,Mumbai,31,19016
10281,Raj Desai,Kochi,39,13660
10282,Vikram Kumar,Pune,22,29825
10283,Raj Shah,Delhi,21,19424
10284,Priya Kumar,Ahmedabad,22,14980
10285,Anjali Rao,Bangalore,24,40222
10286,Neha Mehta,Kochi,41,18594
10287,Sneha Desai,Delhi,33,26532
10288,Anjali Desai,Pune,26,13310
10289,Raj Patel,Surat,27,44437
10290,Arjun Patel,Kochi,34,10643
10291,Raj Kumar,Mumbai,36,2152
10292,Raj Kumar,Surat,26,22585
10293,Amit Nair,Delhi,37,5574
10294,Amit Patel,Kochi,37,21890
10295,Vikram Joshi,Delhi,49,4172
10296,Rahul Joshi,Bangalore,42,24284
10297,Vikram Joshi,Kochi,35,44096
10298,Vikram Mehta,Jaipur,50,20055
10299,Arjun Joshi,Delhi,22,13400
10300,Priya Rao,Jaipur,31,7690
10301,Vikram Joshi,Bangalore,42,9141
10302,Kavita Desai,Surat,34,31954
10303,Arjun Rao,Delhi,41,41089
10304,Anjali Verma,Bangalore,48,30178
10305,Priya Shah,Delhi,37,3545
10306,Amit Joshi,Kochi,24,8201
10307,Kavita Shah,Kochi,40,16557
10308,Anjali Verma,Bangalore,50,17085
10309,Arjun Verma,Surat,27,21604
10310,Amit Verma,Ahmedabad,33,13232
10311,Sneha Shah,Ahmedabad,38,1830
10312,Anjali Nair,Pune,23,27052
10313,Arjun Joshi,Jaipur,42,46212
10314,Amit Shah,Ahmedabad,33,24918
10315,Amit Nair,Mumbai,24,13319
10316,Vikram Verma,Pune,43,40157
10317,Rahul Verma,Delhi,36,49085
10318,Anjali Kumar,Jaipur,42,40502
10319,Arjun Desai,Mumbai,20,43211
10320,Anjali Joshi,Jaipur,37,44985
10321,Kavita Nair,Ahmedabad,35,20675
10322,Sneha Mehta,Ahmedabad,27,22288
10323,Amit Mehta,Bangalore,25,29550
10324,Vikram Singh,Delhi,45,19074
10325,Anjali Joshi,Ahmedabad,24,6987
10326,Arjun Rao,Bangalore,26,17726
10327,Rahul Verma,Kochi,31,21428
10328,Priya Verma,Ahmedabad,27,48721
10329,Rahul Patel,Delhi,23,22455
10330,Vikram Verma,Ahmedabad,24,26478
10331,Priya Singh,Jaipur,35,36366
10332,Rahul Verma,Bangalore,30,6912
10333,Rahul Desai,Jaipur,25,34522
10334,Kavita Joshi,Mumbai,28,44507
10335,Priya Shah,Kochi,31,15613
10336,Neha Kumar,Jaipur,36,44490
10337,Amit Singh,Pune,21,41405
10338,Neha Desai,Kochi,45,48944
10339,Neha Nair,Surat,44,6599
10340,Priya Singh,Bangalore,42,10231
10341,Sneha Joshi,Ahmedabad,41,14497
10342,Kavita Shah,Ahmedabad,33,16964
10343,Sneha Singh,Mumbai,28,47595
10344,Sneha Mehta,Delhi,46,21246
10345,Anjali Kumar,Delhi,26,18501
10346,Arjun Rao,Delhi,35,32465
10347,Raj Nair,Delhi,49,22957
10348,Arjun Nair,Bangalore,40,25760
10349,Neha Singh,Delhi,39,4553
10350,Amit Kumar,Mumbai,36,42281
10351,Anjali Joshi,Surat,44,4573
10352,Raj Desai,Bangalore,45,44752
10353,Raj Desai,Ahmedabad,45,17217
10354,Amit Rao,Mumbai,47,2687
10355,Arjun Mehta,Kochi,38,49822
10356,Rahul Kumar,Kochi,39,12390
10357,Arjun Desai,Ahmedabad,41,22041
10358,Anjali Rao,Mumbai,45,32311
10359,Neha Singh,Bangalore,45,1075
10360,Raj Desai,Ahmedabad,43,46645
